,Nombre del parque eolico,Pais,Departamento / Zona,Ciudad,turbinas eolicas,Altura de las gondolas,Potencia nominal total,Operativo,Parque eolico onshore,Desarrolladores,Operador,Propietario,Fuente,Latitud,Longitud,Sistema geodesico,Localizacion precisa,Puesta en servicio,Desarrollador,Imagenes de Google Maps,Parte,Otro nombre,Propietarios,Altitud,turbina eolica,En construccion,Deshabilitar,Operadores,Sitio web,"direccion de correo electronico a fin de inscribirle al boletin de noticias, estrictamente destinada al envio de los boletines de noticias y por un periodo de tiempo limitado a la duracion de la inscripcion a dichos boletines de noticias.","direccion de correo electronico y nombre de la empresa cuando se soliciten presupuestos o se adquieran productos, unicamente destinados a realizar el seguimiento de los clientes y durante un periodo de tiempo conforme a las obligaciones contables."
451,Piedras del Alto,Espana,Segovia (Castilla y Leon),"Aldeanueva de la Serrezuela, Navares de Enmedio, Navares de las Cuevas, Pradales","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,34 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 27' 0""","-3° 45' 0""",WGS84,si,,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
452,Planas de Pola (Tauste),Espana,Zaragoza (Aragon),"Tauste, Pradilla de Ebro","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",45 m,35 640 kW,si,si,,E.ON Climate Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 53' 2.5""","-1° 6' 12.9""",WGS84,si,1999,Ceasa,Imagenes de Google Maps,,,E.ON Climate Renewables/ND,,,,,,,,
453,PousadoiroÂ ,Espana,Lugo (Galicia),"Pontenova, A Pastoriza, RiotortoÂ ","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,22 000 kW,si,si,S.E. Pontenova-Riotorto/Elawan,S.E. Pontenova-RiotortoÂ ,Enel GreenPower,http://www.gestampwind.com/en/business/wind-farms,"43° 18' 32""","-7° 14' 59.3""",WGS84,si,2010/09,,Imagenes de Google Maps,,,,,"Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",,,,,,
454,PousadoiroÂ ,Espana,Lugo (Galicia),"Pontenova, A Pastoriza, RiotortoÂ ","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,22 000 kW,si,si,S.E. Pontenova-Riotorto/Elawan,S.E. Pontenova-RiotortoÂ ,Enel GreenPower,http://www.gestampwind.com/en/business/wind-farms,"43° 18' 32""","-7° 14' 59.3""",WGS84,si,2010/09,,Imagenes de Google Maps,,,,,"Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",,,,,,
455,Pozocanada,Espana,Albacete (Castilla-La Mancha),Pozocanada,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,24 420 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 46' 20.1""","-1° 44' 20.3""",WGS84,si,2000,Iberdrola Renewables,Imagenes de Google Maps,,,,,,,,,,,
456,Prejano,Espana,Logrono (La Rioja),"Prejano, Enciso","Gamesa G58/850 (potencia 850 kW, diametro 58 m)",55 m,29 750 kW,si,si,Molinos de la Rioja/Eolicas de La Rioja,Molinos de la Rioja,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 8' 53""","-2° 11' 47.8""",WGS84,si,2005,,Imagenes de Google Maps,,,,,,,,,,,
457,Puerto Escandon,Espana,Teruel (Aragon),Puerto de Escandon,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,26 000 kW,si,si,,Molinos del Jalon SA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 19' 15.2""","-0° 57' 22.3""",WGS84,si,2008,Molinos del Jalon SA,Imagenes de Google Maps,,,,,,,,,,,
458,Punago,Espana,Lugo (Galicia),"A Fonsagrada, Castroverde, Baleira, Ribeira de Piquin, Pol","Made AE-46/I (potencia 660 kW, diametro 46 m)",,30 360 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 4' 47.9""","-7° 17' 24""",WGS84,si,2004,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
459,Punago,Espana,Lugo (Galicia),"A Fonsagrada, Castroverde, Baleira, Ribeira de Piquin, Pol","Made AE-46/I (potencia 660 kW, diametro 46 m)",,30 360 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 4' 47.9""","-7° 17' 24""",WGS84,si,2004,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
460,Punta Lucero,Espana,Vizcaya (Euskadi),"Puerto de Bilbao, Zierbena","Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",80 m,10 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 22' 29.3""","-3° 5' 19.9""",WGS84,si,2006,Acciona Energia,Imagenes de Google Maps,El Abra,El Abra,,,,,,,,,
461,Punta Teno,Espana,SC Tenerife (Tenerife),Tenerife,"Made AE-32 (potencia 330 kW, diametro 32 m)",,1 980 kW,si,si,,Parque Eolico Punta Teno,,,"28° 21' 38.6""","-16° 54' 33.5""",WGS84,si,2001,Parque Eolico Punta Teno,Imagenes de Google Maps,,,,,,,,,,,
462,Quintanilla,Espana,Burgos (Castilla y Leon),Merindad de Rio UbiernaÂ ,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,20 000 kW,si,si,,Parques de Generacion Eolica,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 35' 24.1""","-3° 40' 18.6""",WGS84,si,2010,Parques de Generacion Eolica,Imagenes de Google Maps,,,,,,,,,,,
463,Rabinaldo,Espana,Burgos (Castilla y Leon),Merindad de rio Ubierna,"Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",,12 000 kW,si,si,,,EDP Renovaveis,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 35' 28.6""","-3° 42' 19.7""",WGS84,si,2003,,Imagenes de Google Maps,,,,,,,,,,,
464,Rabosera,Espana,Huesca (Aragon),Sierra de Luna,"Neg Micon NM82/1500 (potencia 1 500 kW, diametro 82 m)",,28 500 kW,si,si,,Desarrollos Eolicos de Rabosera SA,EDP Renovaveis,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 4' 57.2""","-0° 50' 13.8""",WGS84,si,2005,Desarrollos Eolicos de Rabosera SA,Imagenes de Google Maps,,,,,,,,,,,
465,Radona I,Espana,Soria (Castilla y Leon),"Adrada, Alcubilla de las PenasÂ ","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,24 000 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 17' 44.1""","-2° 28' 16.8""",WGS84,si,2009,Iberdrola Renewables,Imagenes de Google Maps,,,,,,,,,,,
466,Radona II,Espana,Soria (Castilla y Leon),"Adrada, Alcubilla de las PenasÂ ","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,32 000 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 17' 44.1""","-2° 28' 16.8""",WGS84,si,2009,Iberdrola Renewables,Imagenes de Google Maps,,,,,,,,,,,
467,Raposeras,Espana,Logrono (La Rioja),"Pradejon, Calahorra","GE Energy 1.5se (potencia 1 500 kW, diametro 70.5 m)",,39 000 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 17' 59.9""","-2° 0' 35.9""",WGS84,si,2003,Cobra,Imagenes de Google Maps,,,ACS/Canepa Green Energy,,,,,ACS/Canepa Green Energy,,,
468,Requeixo,Espana,La Coruna (Galicia),As Somozas,"Ecotecnia 74 (potencia 1 670 kW, diametro 74 m)",,11 690 kW,si,si,,Somozas ER,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 31' 0.6""","-7° 52' 52.7""",WGS84,si,2003,Cobra,Imagenes de Google Maps,,,,,,,,,,,
469,Reventones,Espana,Murcia,Jumilla,"Gamesa G80/2000 (potencia 2 000 kW, diametro 80 m)",,34 000 kW,si,si,,Energias Renovables de la region de Murcia,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 41' 8.2""","-1° 24' 15.4""",WGS84,si,2007,Energias Renovables de la region de Murcia,Imagenes de Google Maps,,,,,,,,,,,
470,Rio Gallego,Espana,Huesca (Aragon),Gurrea de Gallego,"Neg Micon NM52/900 (potencia 900 kW, diametro 52.2 m)",,36 000 kW,si,si,,RWE,RWE,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 0' 41.2""","-0° 40' 44""",WGS84,si,2003,,Imagenes de Google Maps,,,,,,,,,,,
471,Rioboo,Espana,Lugo (Galicia),"Concello de Xove, Concello de Viveiro","Navantia-Siemens Izar 55/1300 (potencia 1 300 kW, diametro 55 m)",,20 800 kW,si,si,,Acciona Energia,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 39' 6""","-7° 33' 2.7""",WGS84,si,2006,Acciona Energia,Imagenes de Google Maps,,,Acciona Energia/Eurus Energy,,,,,,,,
472,Robres,Espana,Huesca (Aragon),Robres,"Vestas V90/1800 (potencia 1 800 kW, diametro 90 m)",,18 000 kW,si,si,,Eolica del Ebro SA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 52' 3.8""","-0° 31' 59.1""",WGS84,si,2007,Eolica del Ebro SA,Imagenes de Google Maps,,,,,,,,,,,
473,Robres,Espana,Huesca (Aragon),Robres,"Vestas V90/1800 (potencia 1 800 kW, diametro 90 m)",,18 000 kW,si,si,,Eolica del Ebro SA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 52' 3.8""","-0° 31' 59.1""",WGS84,si,2007,Eolica del Ebro SA,Imagenes de Google Maps,,,,,,,,,,,
474,Rodal,Espana,Palencia (Castilla y Leon),Fuentes de Valdepero,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,6 000 kW,si,si,,Eolica Mirasierra,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 4' 40.2""","-4° 27' 40.4""",WGS84,si,,Eolica Mirasierra,Imagenes de Google Maps,,,,,,,,,,,
475,Salajones,Espana,Navarra,"Aibar, Lumbier","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,19 140 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 36' 30""","-1° 18' 28.6""",WGS84,si,1999/04,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
476,Salinas del Matorral,Espana,Las Palmas (Canarias),San Bartolome de TirajanaÂ ,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,1 700 kW,si,si,,Juliano Bonny,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 48' 8.8""","-15° 26' 46.5""",WGS84,si,,Juliano Bonny,Imagenes de Google Maps,,,,,,,,,,,
477,Salinas del Matorral Ampliacion,Espana,Las Palmas (Canarias),San Bartolome de Tirajana,,,850 kW,si,si,,Juliano Bonny,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 48' 8.8""","-15° 26' 46.5""",WGS84,si,2008,Juliano Bonny,Imagenes de Google Maps,,,,,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,,,,,
478,San Cristobal de Aguilon,Espana,Zaragoza (Aragon),Aguilon,"Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,50 000 kW,si,si,,Aguilon 20 S.A.,Enel GreenPower,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 18' 27.1""","-0° 59' 30.2""",WGS84,si,2011,Aguilon 20 S.A.,Imagenes de Google Maps,,,,,,,,,,,
479,San Esteban I A,Espana,Navarra,"Anorbe, Tirapu","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,24 420 kW,si,si,Acciona Energia/Dessarrollo de Energias Renovables de Navarra,Acciona Energia,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 38' 21.7""","-1° 42' 39.4""",WGS84,si,1999,,Imagenes de Google Maps,,,Acciona Energia/ND,,,,,,,,
480,San Esteban I B - Egastiaga,Espana,Navarra,Artajona,"Acciona AW-1500/77 (potencia 1 500 kW, diametro 77 m)",,6 000 kW,si,si,Acciona Energia/Dessarrollo de Energias Renovables de Navarra,Acciona Energia,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 37' 32.4""","-1° 44' 38.8""",WGS84,si,2006,,Imagenes de Google Maps,,,Acciona Energia/ND,,,,,,,,
481,San Esteban II A - Anorbe,Espana,Navarra,"Anorbe, Tirapu","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,11 050 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 38' 5.8""","-1° 43' 32.9""",WGS84,si,,Dessarrollo de Energias Renovables de Navarra,Imagenes de Google Maps,,,,,,,,,,,
482,San Esteban II B - Olcoz,Espana,Navarra,"Biurrun-olcoz, Unzue","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,16 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 36' 19.5""","-1° 41' 44.3""",WGS84,si,2006,Dessarrollo de Energias Renovables de Navarra,Imagenes de Google Maps,,,,,,,,,,,
483,San Esteban II C - Caraquidoya,Espana,Navarra,"Barasoaian del Anorbe, Artajona","Acciona AW-1500/77 (potencia 1 500 kW, diametro 77 m)",,15 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 38' 49""","-1° 40' 3.1""",WGS84,si,,Dessarrollo de Energias Renovables de Navarra,Imagenes de Google Maps,,,,,,,,,,,
484,San Gil,Espana,Guadalajara (Castilla-La Mancha),"Tartanedo, Torrubia, FuentelsazÂ ","Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",,36 000 kW,si,si,,,Gas Natural Fenosa Renovables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 0' 25""","-1° 54' 10.6""",WGS84,si,2009,Parque Eolico Cabo Vilano,Imagenes de Google Maps,,,,,,,,,,,
485,San Gregorio,Espana,Navarra,Cabanillas,"Ecotecnia 44 (potencia 600 kW, diametro 44 m)",,15 000 kW,si,si,,Eolica Cabanillas SL,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 4' 18.6""","-1° 32' 47.9""",WGS84,si,1998,,Imagenes de Google Maps,,,,,,,,,,,
486,San Juan de Bargas,Espana,Zaragoza (Aragon),"Bureta, Magallon, Alberite de San Juan","Made AE-52 (potencia 800 kW, diametro 52 m)",50 m,4 800 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 49' 12""","-1° 28' 11.9""",WGS84,no,2005,,Imagenes de Google Maps,,,E.ON Climate Renewables/ND,,,,,San Juan de Bargas Eolicas/E.ON Climate Renewables,,,
487,San Just,Espana,Teruel (Aragon),Escucha,"Made AE-46/I (potencia 660 kW, diametro 46 m)",,9 240 kW,si,si,,P. Eolico Aragon,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 46' 12""","-0° 51' 0""",WGS84,si,2003,,Imagenes de Google Maps,,,,,,,,,,,
488,Sancho Abarca,Espana,Zaragoza (Aragon),TausteÂ ,"Vestas V90/1800 (potencia 1 800 kW, diametro 90 m)",,7 200 kW,si,si,,Aragonesa del Viento. S.A. (ARVISA)Â ,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 2' 0.3""","-1° 18' 53.3""",WGS84,si,2010,,Imagenes de Google Maps,,,,,"Vestas V90/3000 (potencia 3 000 kW, diametro 90 m)",,,,,,
489,Sancho Abarca,Espana,Zaragoza (Aragon),TausteÂ ,"Vestas V90/1800 (potencia 1 800 kW, diametro 90 m)",,7 200 kW,si,si,,Aragonesa del Viento. S.A. (ARVISA)Â ,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 2' 0.3""","-1° 18' 53.3""",WGS84,si,2010,,Imagenes de Google Maps,,,,,"Vestas V90/3000 (potencia 3 000 kW, diametro 90 m)",,,,,,
490,Sant Antoni,Espana,Lleida (Cataluna),La GranadellaÂ ,"FuhrlÃ¤nder FL 2500/100 (potencia 2 500 kW, diametro 100 m)",,12 500 kW,si,si,,Eolia,Eolia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 23' 16.1""","0° 36' 52.6""",WGS84,si,2010,Eolia,Imagenes de Google Maps,,,,,,,,,,,
491,Sant Antoni,Espana,Lleida (Cataluna),La GranadellaÂ ,"FuhrlÃ¤nder FL 2500/100 (potencia 2 500 kW, diametro 100 m)",,12 500 kW,si,si,,Eolia,Eolia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 23' 16.1""","0° 36' 52.6""",WGS84,si,2010,Eolia,Imagenes de Google Maps,,,,,,,,,,,
492,Santa Quiteria,Espana,Huesca (Aragon),"Almudevar, Tardienta","Neg Micon NM52/900 (potencia 900 kW, diametro 52.2 m)",,36 000 kW,si,si,,Vattenfall,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 58' 26""","-0° 36' 2.1""",WGS84,si,2004,Vattenfall,Imagenes de Google Maps,,,,,,,,,,,
493,Santo Cristo de Magallon,Espana,Zaragoza (Aragon),Magallon,"Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",80 m,40 000 kW,si,si,,GEA Magallon II SL,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 47' 44.1""","-1° 21' 58.6""",WGS84,si,2005/12,GEA Magallon II SL,Imagenes de Google Maps,,,,,,,,,,,
494,Sargentes,Espana,Burgos (Castilla y Leon),"Sargentes de la Lora, Basconcillos del TozoÂ ","Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",80 m,24 000 kW,si,si,,,Bridgepoint,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 45' 59.7""","-3° 56' 13.5""",WGS84,si,2009,ACS,Imagenes de Google Maps,,,,,,,,,,,
495,Sasoplano,Espana,Huesca (Aragon),Almudevar,"Gamesa G58/850 (potencia 850 kW, diametro 58 m)",,41 650 kW,si,si,,Enel GreenPower,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 8' 13.9""","-0° 35' 25.4""",WGS84,si,2006,,Imagenes de Google Maps,,,,,,,,,,,
496,Savalla,Espana,Tarragona (Cataluna),Savalla del ComtatÂ ,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",100 m,18 000 kW,si,si,,Gerr Grupo Energetico XXI,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 32' 17.4""","1° 17' 3""",WGS84,si,2011,Gerr Grupo Energetico XXI,Imagenes de Google Maps,,,,,,,,,,,
497,Serra da Loba,Espana,Lugo (Galicia),"Aranga, Guitiriz","Gamesa G83/2000 (potencia 2 000 kW, diametro 83 m)",,36 000 kW,si,si,,Olivento SL,FCC,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 16' 5.2""","-7° 55' 18.6""",WGS84,si,2005,Olivento SL,Imagenes de Google Maps,,,,600 m,,,,,,,
498,Serra de Rubio I,Espana,Barcelona (Cataluna),"Serra de Rubio, Castellfollit del Boix","Acciona AW-1500/77 (potencia 1 500 kW, diametro 77 m)",,49 500 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 39' 39.8""","1° 37' 9.4""",WGS84,si,2005,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
499,Serra de Rubio II,Espana,Barcelona (Cataluna),"Serra de Rubio, Castellfollit del Boix","Acciona AW-1500/77 (potencia 1 500 kW, diametro 77 m)",,25 500 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 39' 39.8""","1° 37' 9.4""",WGS84,si,2007,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
500,Serra de Vilobi,Espana,Lleida (Cataluna),"Tarres, Fulleda","Acciona AW-1500/77 (potencia 1 500 kW, diametro 77 m)",,40 500 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 26' 38.2""","1° 3' 14.8""",WGS84,si,2006,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
501,Serra de Vilobi II,Espana,Lleida (Cataluna),"Tarres, Fulleda","Acciona AW-3000/116 (potencia 3 000 kW, diametro 116 m)",100 m,9 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 26' 24.4""","1° 2' 5""",WGS84,si,2012,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
502,Serra del Tallat,Espana,Lleida (Cataluna),"Vallbona de les Monges, Passanat","Acciona AW-1500/77 (potencia 1 500 kW, diametro 77 m)",80 m,49 500 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 29' 11.4""","1° 10' 5.9""",WGS84,si,2007,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
503,Serra do Burgo,Espana,Ourense (Galicia),"Chandrexa de Quixa, Castro Caldelas","Gamesa G58/850 (potencia 850 kW, diametro 58 m)",,16 150 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 19' 47.9""","-7° 24' 36""",WGS84,si,,Iberdrola Renewables,Imagenes de Google Maps,,,,,,,,,,,
504,Serra do Paramo,Espana,Lugo (Galicia),"O Paramo, ParandelaÂ ","Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",,20 000 kW,si,si,,Virandel,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 48' 30.4""","-7° 29' 49""",WGS84,si,2008/08,Virandel,Imagenes de Google Maps,,,,,,,,,,,
505,Serra Voltorera,Espana,Tarragona (Cataluna),"Cabra del Camp, BarberÃ  de la Conca, Montblanc, PiraÂ ","Ecotecnia 74 (potencia 1 670 kW, diametro 74 m)",,16 700 kW,si,si,,Parc Eolic Serra Voltorera,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 24' 8.9""","1° 18' 16.4""",WGS84,si,2009,Parc Eolic Serra Voltorera,Imagenes de Google Maps,,,,,,,,,,,
506,Serralta,Espana,Navarra,Cabanillas,"Ecotecnia 44 (potencia 600 kW, diametro 44 m)",,15 000 kW,si,si,,Eolica Cabanillas SL,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 4' 38.3""","-1° 32' 0.5""",WGS84,si,1998,Eolica Cabanillas SL,Imagenes de Google Maps,,,,,,,,,,,
507,Serralta Ampliacion,Espana,Navarra,CabanillasÂ ,,,1 500 kW,si,si,,Eolica Cabanillas SL,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 4' 29.4""","-1° 31' 39.9""",WGS84,si,,Eolica Cabanillas SL,Imagenes de Google Maps,,,,,M Torres ,,,,,,
508,Sierra de Arcas,Espana,Malaga (Andalucia),Villanueva de Algaidas,"Vestas V100/2000 (potencia 2 000 kW, diametro 100 m)",,20 000 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 8' 56.2""","-4° 27' 12.5""",WGS84,si,2011,,Imagenes de Google Maps,,,,,,,,,,,
509,Sierra de Bodenaya,Espana,Asturias,Salas,"GE Energy 1.5se (potencia 1 500 kW, diametro 70.5 m)",70 m,18 000 kW,si,si,,E.ON Climate Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 24' 12.5""","-6° 18' 7.4""",WGS84,si,2005/03,E.ON Climate Renewables,Imagenes de Google Maps,,,,,,,,,,,
510,Sierra de la Cuesta,Espana,Asturias,Grandas de Salime,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,7 920 kW,si,si,,,EDP Renovaveis,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 13' 5.9""","-6° 48' 51.1""",WGS84,si,2004,,Imagenes de Google Maps,,,,,,,,,,,
511,Sierra de la Oliva,Espana,Albacete (Castilla-La Mancha),"Caudete, Almansa","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,46 860 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 44' 19.5""","-1° 1' 43.8""",WGS84,si,2001,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
512,Sierra de la Oliva II,Espana,Albacete (Castilla-La Mancha),"Almansa, Caudete","Neg Micon NM82/1500 (potencia 1 500 kW, diametro 82 m)",78 m,30 000 kW,si,si,,Eufer,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 47' 57.2""","-1° 0' 20.1""",WGS84,si,2005,Gas Natural Fenosa Renovables,Imagenes de Google Maps,,,,,,,,,,,
513,Sierra de la Virgen,Espana,Zaragoza (Aragon),"Sestrica, Calatayud","Made AE-59 (potencia 800 kW, diametro 59 m)",,28 800 kW,si,si,,Exploitaciones Eolicas Sierra de la Virgen,Enel GreenPower,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 27' 7.4""","-1° 38' 37.6""",WGS84,si,2005,Exploitaciones Eolicas Sierra de la Virgen,Imagenes de Google Maps,,,,,,,,,,,
514,Sierra de las Cabras,Espana,Murcia,Jumilla,"Gamesa G97/2000 (potencia 2 000 kW, diametro 97 m)",,22 000 kW,si,si,,Energias Renovables de la region de Murcia,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 29' 30.8""","-1° 24' 3.4""",WGS84,si,2012,Energias Renovables de la region de Murcia,Imagenes de Google Maps,,,,,,,,,,,
515,Sierra de las Carbas,Espana,Zamora (Castilla y Leon),FerreruelaÂ ,"Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",,40 000 kW,si,si,ACS/Cobra,ACS,Saeta Yield,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 47' 42.8""","-6° 5' 35.2""",WGS84,si,2011,,Imagenes de Google Maps,,,,,,,,,,,
